Angle: 0.0, Distance: 3.05m
Angle: 3.6, Distance: 7.39m
Angle: 7.2, Distance: 2.14m
Angle: 10.8, Distance: 2.05m
Angle: 14.4, Distance: 5.65m
Angle: 18.0, Distance: 2.16m
Angle: 21.6, Distance: 2.11m
Angle: 25.2, Distance: 5.31m
Angle: 28.8, Distance: 6.68m
Angle: 32.4, Distance: 3.60m
Angle: 36.0, Distance: 3.56m
Angle: 39.6, Distance: 1.90m
Angle: 43.2, Distance: 7.42m
Angle: 46.8, Distance: 6.63m
Angle: 50.4, Distance: 3.54m
Angle: 54.0, Distance: 5.10m
Angle: 57.6, Distance: 1.94m
Angle: 61.2, Distance: 7.20m
Angle: 64.8, Distance: 1.04m
Angle: 68.4, Distance: 7.70m
Angle: 72.0, Distance: 6.78m
Angle: 75.6, Distance: 7.77m
Angle: 79.2, Distance: 5.64m
Angle: 82.8, Distance: 2.13m
Angle: 86.4, Distance: 4.64m
Angle: 90.0, Distance: 6.89m
Angle: 93.6, Distance: 1.19m
Angle: 97.2, Distance: 7.55m
Angle: 100.8, Distance: 4.66m
Angle: 104.4, Distance: 6.80m
Angle: 108.0, Distance: 18.06m
Angle: 111.6, Distance: 3.33m
Angle: 115.2, Distance: 5.63m
Angle: 118.8, Distance: 3.60m
Angle: 122.4, Distance: 7.75m
Angle: 126.0, Distance: 4.42m
Angle: 129.6, Distance: 5.53m
Angle: 133.2, Distance: 4.33m
Angle: 136.8, Distance: 11.02m
Angle: 140.4, Distance: 2.55m
Angle: 144.0, Distance: 7.26m
Angle: 147.6, Distance: 1.64m
Angle: 151.2, Distance: 7.32m
Angle: 154.8, Distance: 4.83m
Angle: 158.4, Distance: 18.46m
Angle: 162.0, Distance: 2.96m
Angle: 165.6, Distance: 3.95m
Angle: 169.2, Distance: 4.86m
Angle: 172.8, Distance: 4.47m
Angle: 176.4, Distance: 6.02m
Angle: 180.0, Distance: 7.87m
Angle: 183.6, Distance: 7.37m
Angle: 187.2, Distance: 5.55m
Angle: 190.8, Distance: 4.77m
Angle: 194.4, Distance: 3.67m
Angle: 198.0, Distance: 4.77m
Angle: 201.6, Distance: 3.31m
Angle: 205.2, Distance: 2.45m
Angle: 208.8, Distance: 3.58m
Angle: 212.4, Distance: 7.33m
Angle: 216.0, Distance: 4.50m
Angle: 219.6, Distance: 2.03m
Angle: 223.2, Distance: 7.64m
Angle: 226.8, Distance: 4.34m
Angle: 230.4, Distance: 4.24m
Angle: 234.0, Distance: 5.84m
Angle: 237.6, Distance: 2.60m
Angle: 241.2, Distance: 2.68m
Angle: 244.8, Distance: 5.64m
Angle: 248.4, Distance: 17.43m
Angle: 252.0, Distance: 2.78m
Angle: 255.6, Distance: 6.04m
Angle: 259.2, Distance: 2.92m
Angle: 262.8, Distance: 1.64m
Angle: 266.4, Distance: 2.37m
Angle: 270.0, Distance: 1.18m
Angle: 273.6, Distance: 1.45m
Angle: 277.2, Distance: 7.77m
Angle: 280.8, Distance: 1.59m
Angle: 284.4, Distance: 3.61m
Angle: 288.0, Distance: 3.34m
Angle: 291.6, Distance: 1.35m
Angle: 295.2, Distance: 2.66m
Angle: 298.8, Distance: 4.48m
Angle: 302.4, Distance: 4.17m
Angle: 306.0, Distance: 3.37m
Angle: 309.6, Distance: 2.19m
Angle: 313.2, Distance: 6.27m
Angle: 316.8, Distance: 3.13m
Angle: 320.4, Distance: 1.68m
Angle: 324.0, Distance: 1.09m
Angle: 327.6, Distance: 7.10m
Angle: 331.2, Distance: 2.25m
Angle: 334.8, Distance: 2.13m
Angle: 338.4, Distance: 5.05m
Angle: 342.0, Distance: 1.88m
Angle: 345.6, Distance: 6.15m
Angle: 349.2, Distance: 6.98m
Angle: 352.8, Distance: 7.11m
Angle: 356.4, Distance: 6.20m
